aX,aY,aZ,gX,gY,gZ
0.027,-0.050,1.112,43.579,10.254,21.667
0.064,-0.030,1.154,38.513,17.639,22.705
0.077,-0.027,1.245,32.166,29.297,17.273
0.052,-0.023,1.361,28.015,41.504,7.751
0.018,0.033,1.402,25.452,49.622,-1.038
0.013,0.034,1.439,26.123,56.274,-6.042
-0.005,0.026,1.426,26.917,58.960,-9.521
0.026,-0.018,1.427,27.100,60.852,-11.902
0.032,-0.038,1.416,26.917,61.829,-14.282
0.036,-0.039,1.403,28.015,62.988,-16.479
0.032,-0.029,1.383,31.860,65.308,-17.883
0.028,-0.027,1.352,35.889,68.542,-17.578
0.038,-0.006,1.337,36.987,73.486,-13.977
0.041,-0.008,1.290,35.828,80.505,-7.446
0.041,-0.032,1.232,37.415,88.318,-2.136
0.068,-0.048,1.197,40.955,96.375,1.709
0.104,-0.049,1.189,43.640,102.539,4.028
0.136,-0.078,1.168,47.852,106.018,3.784
0.168,-0.094,1.169,51.941,106.689,2.625
0.193,-0.108,1.161,57.739,105.896,0.122
0.220,-0.146,1.126,65.735,104.065,-3.174
0.219,-0.159,1.116,70.007,99.243,-5.005
0.215,-0.175,1.129,72.205,94.849,-7.141
0.215,-0.204,1.145,73.792,92.529,-9.216
0.204,-0.229,1.138,72.998,92.285,-8.484
0.190,-0.239,1.104,69.641,94.238,-6.409
0.193,-0.230,1.078,64.819,97.473,-4.028
0.218,-0.205,1.050,62.561,101.624,-0.977
0.253,-0.198,1.016,65.735,106.201,2.319
0.282,-0.196,0.969,69.580,108.154,5.371
0.303,-0.185,0.935,71.533,106.750,8.179
